X,Y,class
0.01535714286,0.005,red
0.01842857143,0.01,red
0.006142857143,0.005,red
0,0.01,red
0.009214285714,0.0067,red
0.003071428571,0.0017,red
0.01842857143,0.0017,red
0.009214285714,0.0033,red
0.009214285714,0.0017,red
0.009214285714,0.005,red
0.03378571429,0.0067,red
0.03378571429,0.0033,red
0.03992857143,0.0033,red
0.09214285714,0.0067,red
0.09214285714,0.0083,red
0.1044285714,0.0033,red
0.1658571429,0.0033,red
0.1474285714,0.01,red
0.1566428571,0.0067,red
0.1474285714,0,red
0.1873571429,0.0033,red
0.1996428571,0.0317,red
0.1842857143,0.0317,red
0.1935,0.0667,red
0.1965714286,0.0683,red
0.2242142857,0.0817,red
0.2057857143,0.0817,red
0.1965714286,0.0617,red
0.1842857143,0.06,red
0.2027142857,0.025,red
0.215,0.0233,red
0.1812142857,0.0333,red
0.2242142857,0.035,red
0.2057857143,0.06,red
0.1965714286,0.06,red
0.1842857143,0.1333,red
0.2027142857,0.1433,red
0.215,0.3117,red
0.1812142857,0.3083,red
0.1781428571,0.1633,red
0.2242142857,0.1567,red
0.2395714286,0.02,red
0.2242142857,0.0567,red
0.1935,0.0017,red
0.1904285714,0.0117,red
0.1873571429,0.0233,red
0.1627857143,0.015,red
0.1320714286,0.01,red
0.129,0.0117,red
0.1505,0.0683,red
0.1474285714,0.0733,red
0.1689285714,0.0983,red
0.1658571429,0.125,red
0.1627857143,0.0917,red
0.1597142857,0.09,red
0.1904285714,0.0183,red
0.1873571429,0.1217,red
0.215,0.1017,red
0.2856428571,0.27,red
0.2641428571,0.2233,red
0.2764285714,0.2483,red
0.2395714286,0.0167,red
0.2057857143,0.0083,red
0.1750714286,0.0517,red
0.1474285714,0.0367,red
0.1566428571,0.075,red
0.1443571429,0.08,red
0.1443571429,0.0183,red
0.1351428571,0.02,red
0.1167142857,0.055,red
0.129,0.06,red
0.1136428571,0.0583,red
0.1197857143,0.0467,red
0.1167142857,0.0433,red
0.1013571429,0.0483,red
0.08907142857,0.0433,red
0.08907142857,0.0533,red
0.1228571429,0.055,red
0.1412857143,0.0933,red
0.1228571429,0.0967,red
0.1197857143,0.155,red
0.1136428571,0.1567,red
0.1197857143,0.115,red
0.1197857143,0.1167,red
0.1320714286,0.31,red
0.1812142857,0.1733,red
0.1750714286,0.06,red
0.1474285714,0.17,red
0.1505,0.385,red
0.1566428571,0.3333,red
0.1750714286,0.1517,red
0.1566428571,0.1433,red
0.1535714286,0.0333,red
0.1873571429,0.0333,red
0.2027142857,0.0767,red
0.172,0.0833,red
0.2119285714,0.0067,red
0.2426428571,0.0133,red
0.2211428571,0.085,red
0.2119285714,0.05,red
0.1873571429,0.0967,red
0.1535714286,0.1017,red
0.1597142857,0.135,red
0.1750714286,0.1233,red
0.1597142857,0.0667,red
0.1505,0.0617,red
0.1566428571,0.0117,red
0.1996428571,0.0117,red
0.2334285714,0.0433,red
0.1965714286,0.0567,red
0.2395714286,0.0383,red
0.2180714286,0.0383,red
0.215,0.07,red
0.2119285714,0.0683,red
0.1842857143,0.0783,red
0.1627857143,0.07,red
0.2457142857,0.0517,red
0.2610714286,0.05,red
0.2365,0.0433,red
0.2487857143,0.0467,red
0.2641428571,0.0367,red
0.2426428571,0.0367,red
0.2395714286,0.0467,red
0.1965714286,0.0483,red
0.2027142857,0.0417,red
0.2088571429,0.04,red
0.2426428571,0.03,red
0.2334285714,0.03,red
0.2426428571,0.0233,red
0.2180714286,0.0217,red
0.2518571429,0.0083,red
0.2672142857,0.0083,red
0.2610714286,0.0017,red
0.2242142857,0.005,red
0.2242142857,0.0067,red
0.2057857143,0.0067,red
0.2334285714,0.0167,red
0.2334285714,0.0183,red
0.215,0.025,red
0.2027142857,0.02,red
0.2610714286,0.025,red
0.2303571429,0.0267,red
0.2979285714,0.0833,red
0.2825714286,0.085,red
0.2487857143,0.11,red
0.2702857143,0.1267,red
0.2856428571,0.47,red
0.2733571429,0.4733,red
0.2610714286,0.265,red
0.2702857143,0.25,red
0.258,0.0183,red
0.2242142857,0.0267,red
0.2180714286,0.1283,red
0.1935,0.1,red
0.1597142857,0.0383,red
0.1474285714,0.09,red
0.1597142857,0.0033,red
0.1351428571,0.0083,red
0.1167142857,0.045,red
0.1228571429,0.0183,red
0.129,0.0617,red
0.1167142857,0.0617,red
0.1412857143,0.005,red
0.1535714286,0.0033,red
0.1474285714,0.03,red
0.1689285714,0.025,red
0.1597142857,0.0017,red
0.2027142857,0.0017,red
0.2365,0.0417,red
0.2702857143,0.04,red
0.2672142857,0.0133,red
0.2702857143,0.0117,red
0.2764285714,0.005,red
0.258,0.005,red
0.2180714286,0.0133,red
0.1965714286,0.0117,red
0.1781428571,0.02,red
0.1474285714,0.0167,red
0.1597142857,0.025,red
0.1505,0.0217,red
0.1658571429,0.0267,red
0.1535714286,0.0283,red
0.1412857143,0.0517,red
0.1259285714,0.0533,red
0.1259285714,0.085,red
0.1566428571,0.085,red
0.1535714286,0.1033,red
0.1689285714,0.0967,red
0.1689285714,0.0417,red
0.1382142857,0.0217,red
0.1259285714,0.1317,red
0.1136428571,0.1417,red
0.1075,0.2817,red
0.09521428571,0.225,red
0.1351428571,0.1,red
0.1320714286,0.0967,red
0.1167142857,0.1217,red
0.1136428571,0.125,red
